filename	size_bytes	sha256
21600_0.h5	88607458	fbe5f17041e68952e011ac578eb373918e590e100e47fee2d760ebb4ebb1d70c
21600_10.h5	92341341	f9d2c034130bfc3785746d13400a6efc61fde9b854d7b90e0f52a3fcc261e237
21600_15.h5	90881896	923568c263e8cd01efa5d98027d711443dcfec904a6d28afafe4b437491ef307
21600_20.h5	96832863	5739351414d7b71ee3d7f5f2dbfeb8da12a8cc1ec6b45f84f0a377fa3045e2db
21600_5.h5	50217770	205a90211468c6104b53e940d3315026885018b9e6ae515ca70858734aaa2fb9
22875_0.h5	89592012	f145130a019dbbaec8b27c327b7800dd6bf68811af4c9395f3bb8cacac8a5870
22875_10.h5	93564905	7e0f27818e76ea49e80eed0ce3d619091aa0b6673c812f934ca7af5b0a675933
22875_15.h5	90900977	4195982ba14b307f056350b050caf12ead3c95a34f3206d166353ed79b2965b5
24150_0.h5	89458613	c4edeb83f2da149c273926624f95715cdb0c57308717db011110408998f2cd23
24150_10.h5	94107124	27287f67b185af863b2870206631d8591920ac8d80af22bf461a3a929049e346
24150_15.h5	91316586	c38166b36ce6bef3cd900ff5ab5b8a33fe81b02838f7b818f65016ebb5051019
24150_20.h5	31684797	0c6ea71b22e51e0c86136ede1087078a1542e90b6adef0d7825053d502a63fd8
25425_0.h5	89466968	f3e323f33105329cb5c881b8c39dd455042136bc5218538e5285d463d5eb9b6e
25425_10.h5	94437585	209e3873073a0b8854c65694fd5cde3b47a61879b2935a302c686a1d3e552394
25425_15.h5	91367745	5025e588085d3fec84754b5ed2206041ca5f74aa3a70c428d067dbf7cb95292e
25425_20.h5	95989351	699e8ea486b27b2dc3cb061e439a309a37f41739d1d81f71c466171c188a74fb
26700_0.h5	89267574	59b6e08a8ed346ac7637f15da5e55cb9064c201fccfe4869ef925bc040f6768b
26700_10.h5	94547045	c220f2d2b3bac650a0e3c7245d7aba244b39ee03bee839454f6bc6b8dd66628f
26700_15.h5	90819839	20339febc2f913d5a21a3aa82353b3e500a668f636581f03fc8c9065884007bc
3750_0.h5	88807246	93a94befde427cf16f5f573e95f0f6ccf361d005cb26c81a9957a36d0bd12925
3750_10.h5	90143159	8f5b98cb990268f666aabb75633861d742ada00bcc1bd958ff1a3f844bf82d16
3750_20.h5	96746993	3d878f2e02e706680fd133e5d3bb53bad9ed59f3f5f723ef0c453f89d8b9b803
3750_5.h5	89215799	39336fb1328060bde20ef01885d73893c346917bccaf528345b2ea2365750e2f
5025_0.h5	89025197	1457edf37464f0f5cb5b9ecf2114acba730d3130cf98e472518b80d743cee961
5025_10.h5	90513518	692d07167000a46c9151c069e07b66bd1ea7cacf4c784acb1d96b35a5f385911
5025_15.h5	93200804	e14cf7df8035bdab43bc622c311c559df9835db7ad57c21a267caa0b3c4d4b36
5025_20.h5	96767872	61cfa9c9564c428768391743260605d58464391fdc1dd635fd395a69256efef8
5025_5.h5	89008493	5805077383d3f72c7ad841657ab1434d530a1951137f7d4099d48948c731535e
6300_0.h5	89445258	3e8a97159f2f00b20775fbd7754730a75caea47fc6c278929c24a2646f6f9c58
6300_10.h5	91030574	6206445eabf0c75291cf4266ba90ce1c9fb01eb94285030d58d3b4b9f4cbf12e
6300_15.h5	92326923	99ef17b2e951593103cb102c9b30263953c0feed460727ccad65e94e20034912
6300_20.h5	96931078	bdda0a511322ca88cd085d750d664df598ce7d02c95e8f550147b2f04983624f
6300_5.h5	89301441	63357cfa2af8f4cd3373d40af68bba1f80b299a228229d5349447fb58368be16
7575_0.h5	89445258	a1cb5dbdb09fddb9bf0edd9f12e70a07f7421ec79aac3d240330c28479021bba
7575_10.h5	91150560	c4b8208650b846aa11642f7c4c7ca32f54a148f34d45c236e0dc5da57f190d29
7575_15.h5	91989321	64c930a56b232294863d93e416a84348f1f883360524fd367c684c88bb2c1dde
7575_20.h5	97127146	128a35ce4c65abfb06df53e9f3ff4352b000511b41233a71a8a0d472f2a78ec4
7575_5.h5	88996419	6199ff008a258d9b13517a0597657b364cfcdbd66e106d4ea4e3b97ce5fdafae
8850_0.h5	89382923	8610464c8424322a8329edad6d22799ad92cd0ba1ea15430fb959458e93ff9fe
8850_10.h5	91464323	7ed51290a7a867a360dabf50222d31100d9bda273670f1e5f94d2922ffaf8767
8850_15.h5	91861677	cc83348e23260c99b0c1cd063f04696dc5e83c664c1f002f9c94d632a0d1c983
8850_20.h5	97136140	570e78158aa8f6d774363a5dc123a816101b2a696b098b8082fae39d4bfdd182
8850_5.h5	88897136	6ed59c2493db00c8a3500dc92f4df89c532d3e0c87d5ae960b4d2e73c615e565
